순위,캐테고리,채널명,구독자수,총조회수,비디오수
1,음악/댄스/가수,BLACKPINK,70200000,21457090000,395
2,음악/댄스/가수,HYBE LABELS,63000000,20496840000,725
3,음악/댄스/가수,BANGTANTV,61500000,14077940000,1646
4,음악/댄스/가수,SMTOWN,29300000,23016410000,3779
5,키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],26500000,11052880000,223
6,음악/댄스/가수,1MILLION Dance Studio,24600000,6930370000,3396
7,음악/댄스/가수,1theK (원더케이),23700000,21358840000,15675
8,음악/댄스/가수,JYP Entertainment,23000000,15004820000,1429
9,음악/댄스/가수,Mnet K-POP,19000000,13974230000,26841
10,음악/댄스/가수,JFlaMusic,17400000,3501980000,281
11,TV/방송,KBS WORLD TV,17200000,12905050000,54160
12,음식/요리/레시피,Jane ASMR 제인,15500000,5510780000,1300
13,음악/댄스/가수,officialpsy,15300000,8844390000,91
14,미분류,AdeleVEVO,15200000,10505050000,49
15,음악/댄스/가수,BIGBANG,13900000,6835120000,773
16,음악/댄스/가수,TWICE,12600000,2692060000,705
17,미분류,Saturday Night Live,12400000,12565100000,7780
18,음식/요리/레시피,Hongyu ASMR 홍유,10900000,3144660000,421
19,키즈/어린이,Nao FunFun,10700000,4450000,37
21,음악/댄스/가수,Stone Music Entertainment,10100000,8264600000,8335
20,키즈/어린이,DuDuPopTOY,10100000,4523780000,1909
22,키즈/어린이,핑크퐁 (인기 동요・동화),9930000,6000450000,2386
23,TV/방송,MBCkpop,9610000,7627260000,41620
24,키즈/어린이,Toymong tv 토이몽TV,9560000,3950230000,1925
25,키즈/어린이,Larva TUBA,9530000,4177810000,2986
26,키즈/어린이,서은이야기[SeoeunStory],9420000,4059810000,1051
27,음악/댄스/가수,Mnet TV,8670000,10085260000,19204
28,음악/댄스/가수,EXO,8540000,529000000,218
29,뉴스/정치/사회,MBCentertainment,8490000,14898780000,88219
30,음악/댄스/가수,iKON,8420000,2161740000,470
31,음식/요리/레시피,[햄지]Hamzy,8400000,2503380000,368
32,음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,8290000,584700000,906
33,음악/댄스/가수,Stray Kids,8050000,1314470000,520
34,TV/방송,M2,7840000,5972430000,15055
35,해외,Serie A,7660000,2585610000,21226
36,키즈/어린이,MariAndKids,7530000,2321200000,809
37,키즈/어린이,SonicToy소닉토이,7260000,3005250000,163
38,음악/댄스/가수,SEVENTEEN,7250000,2387630000,969
39,음악/댄스/가수,이지금 [IU Official],7150000,1150010000,134
40,음식/요리/레시피,쏘영 Ssoyoung,7090000,1036380000,594
41,뉴스/정치/사회,JTBC Entertainment,7000000,10106300000,66614
42,음식/요리/레시피,문복희 Eat with Boki,6990000,1641030000,500
43,음악/댄스/가수,Sungha Jung,6790000,1890640000,1282
44,미분류,DJSnakeVEVO,6590000,6437220000,51
45,TV/방송,KBS Kpop,6550000,5094690000,30708
46,음악/댄스/가수,ALL THE K-POP,6520000,4001120000,21040
48,미분류,Pixar,6510000,3204930000,691
47,음악/댄스/가수,YG ENTERTAINMENT,6510000,1657980000,389
49,음악/댄스/가수,MAMAMOO,6380000,1785590000,623
50,음악/댄스/가수,ITZY,6310000,1189220000,497
51,TV/방송,스브스케이팝 / SBS KPOP,6190000,4239860000,27486
52,키즈/어린이,서은일상이야기,6140000,2315810000,618
53,음악/댄스/가수,GOT7,6130000,778110000,579
54,TV/방송,SBS Entertainment,5940000,7060390000,218557
56,회사/오피셜,Samsung,5920000,1274960000,1629
55,TV/방송,tvN drama,5920000,6033590000,37708
57,패션/미용,PONY Syndrome,5890000,363260000,195
58,TV/방송,SBS Drama,5780000,6107230000,341671
59,키즈/어린이,[장난감티비]TOYTV,5760000,2814870000,1520
60,키즈/어린이,미니특공대TV,5680000,3197110000,1172
61,키즈/어린이,스위트티비 SweetTV,5610000,2706040000,511
62,음식/요리/레시피,야미보이 Yummyboy,5500000,1999430000,897
63,음악/댄스/가수,2NE1,5370000,1993970000,321
64,음식/요리/레시피,백종원의 요리비책 Paik's Cuisine,5230000,576470000,365
65,키즈/어린이,콩순이 • 시크릿 쥬쥬 [Kongsuni • Secret Jouju],5190000,4609770000,1280
66,BJ/인물/연예인,[Awesome Haeun]어썸하은,5170000,817970000,512
67,음식/요리/레시피,tzuyang쯔양,5000000,762910000,289
68,음악/댄스/가수,starshipTV,4970000,2896080000,1987
69,키즈/어린이,ToyMart TV,4920000,2149150000,651
70,키즈/어린이,베이비버스 -인기 동요・동화,4880000,3300420000,1333
71,키즈/어린이,TOY GUMA,4810000,1587890000,306
72,음악/댄스/가수,BT21,4780000,392300000,208
73,뉴스/정치/사회,SBS NOW / SBS 공식 채널,4750000,4754900000,20468
74,음악/댄스/가수,TREASURE (트레저),4680000,932870000,288
75,음악/댄스/가수,Red Velvet,4620000,715610000,153
76,TV/방송,KBS Entertain,4600000,7408330000,102574
81,음악/댄스/가수,NCT,4580000,326820000,247
77,키즈/어린이,With Kids Playground [위드키즈 놀이터],4580000,1716340000,411
78,음식/요리/레시피,떵개떵,4570000,2602700000,4434
79,음식/요리/레시피,푸메Fume,4560000,935920000,499
80,음악/댄스/가수,ASTRO 아스트로,4540000,448380000,470
83,키즈/어린이,뽀로로(Pororo),4480000,6066130000,3695
82,BJ/인물/연예인,영국남자 Korean Englishman,4480000,1454470000,444
84,TV/방송,MBCdrama,4470000,5052550000,54871
85,음식/요리/레시피,하루한끼 one meal a day,4400000,427920000,172
86,TV/방송,채널 NCT DAILY,4310000,762190000,467
87,음식/요리/레시피,Cooking tree 쿠킹트리,4290000,399840000,1179
88,키즈/어린이,슈슈토이 Shushu ToysReview,4280000,1602530000,634
89,음악/댄스/가수,NCT 127,4270000,482260000,289
93,게임,EA SPORTS FIFA,4250000,803080000,795
92,음악/댄스/가수,NCT DREAM,4250000,479110000,244
91,TV/방송,JTBC Drama,4250000,4359340000,23431
90,애완/반려동물,SBS TV동물농장x애니멀봐,4250000,3887770000,3182
94,음악/댄스/가수,Raon Lee,4230000,956190000,294
95,음식/요리/레시피,까니짱 [ G-NI ],4200000,1107290000,535
96,키즈/어린이,로미유 스토리[Romiyu Story],4170000,1095240000,434
97,음식/요리/레시피,[Dorothy]도로시,4160000,998000000,905
98,취미/라이프,JaeYeol ASMR 재열,3980000,1096060000,1018
99,키즈/어린이,CoCosToy 꼬꼬스토이,3880000,2187780000,652
100,BJ/인물/연예인,허팝Heopop,3840000,3260020000,1900
101,TV/방송,워크맨-Workman,3790000,743430000,154
103,애완/반려동물,크림히어로즈,3780000,1415780000,1011
102,음악/댄스/가수,WINNER,3780000,1204270000,446
104,키즈/어린이,Lime Tube[라임튜브],3740000,2646690000,1808
105,BJ/인물/연예인,waveya 2011,3730000,1356390000,710
