,제목,저자,출판사,가격,발행일,쪽수
0,트렌드 코리아 2022 ,"김난도(金蘭都), 전미영, 최지혜, 이향은, 이준영",미래의창,16200,2021년 10월 06일,452
1,2022 현직교사들이 들려주는 면접레시피 ,"류은진, 양왕경, 이광한, 이지혜, 양왕경, 이광한, 이지혜",미래가치,42300,2021년 11월 12일,1104
2,아직 오지 않은 날들을 위하여 ,파스칼 브뤼크네르/이세진 역,인플루엔셜,14400,2021년 11월 12일,320
3,거인의 포트폴리오 ,강환국,페이지2북스,16200,2021년 11월 08일,404
4,불편한 편의점(15만부 기념 윈터 에디션) ,김호연,나무옆의자,12600,2021년 04월 20일,268
5,거꾸로 읽는 세계사 ,유시민(柳時敏),돌베개,15750,2021년 10월 29일,404
6,달러구트 꿈 백화점 ,이미예,팩토리나인,12420,2020년 07월 08일,300
7,작은 별이지만 빛나고 있어(10만 부 기념 한정판 에디션) ,소윤,북로망스,13500,2021년 09월 29일,274
8,달러구트 꿈 백화점. 2 ,이미예,팩토리나인,12420,2021년 07월 27일,308
9,오십에 읽는 논어 ,최종엽,유노북스,14400,2021년 11월 03일,300
10,흔한남매. 9 ,"흔한남매, 백난도/유난희 그림",미래엔아이세움,12150,2021년 12월 09일,192
11,투자는 디테일에 있다 ,김정환,부케이,16200,2021년 12월 10일,424
12,웰씽킹(Wealthinking) ,켈리 최,다산북스,14400,2021년 11월 10일,316
13,2022 사이다 면접 ,"이지수, 구영모, 이지수",박문각,31500,2021년 11월 20일,624
14,미드나잇 라이브러리(25만부 기념 퍼플 에디션) ,매트 헤이그/노진선 역,인플루엔셜,14220,2021년 04월 28일,408
